Symbol,Date,Close
AMZN,5/11/2018 16:00:00,1602.91
AMZN,5/14/2018 16:00:00,1601.54
AMZN,5/15/2018 16:00:00,1576.12
AMZN,5/16/2018 16:00:00,1587.28
AMZN,5/17/2018 16:00:00,1581.76
AMZN,5/18/2018 16:00:00,1574.37
AMZN,5/21/2018 16:00:00,1585.46
AMZN,5/22/2018 16:00:00,1581.4
AMZN,5/23/2018 16:00:00,1601.86
AMZN,5/24/2018 16:00:00,1603.07
AMZN,5/25/2018 16:00:00,1610.15
AMZN,5/29/2018 16:00:00,1612.87
AMZN,5/30/2018 16:00:00,1624.89
AMZN,5/31/2018 16:00:00,1629.62
AMZN,6/1/2018 16:00:00,1641.54
AMZN,6/4/2018 16:00:00,1665.27
AMZN,6/5/2018 16:00:00,1696.35
AMZN,6/6/2018 16:00:00,1695.75
AMZN,6/7/2018 16:00:00,1689.3
AMZN,6/8/2018 16:00:00,1683.99
AMZN,6/11/2018 16:00:00,1689.12
AMZN,6/12/2018 16:00:00,1698.75
AMZN,6/13/2018 16:00:00,1704.86
AMZN,6/14/2018 16:00:00,1723.86
AMZN,6/15/2018 16:00:00,1715.97
AMZN,6/18/2018 16:00:00,1723.79
AMZN,6/19/2018 16:00:00,1734.78
AMZN,6/20/2018 16:00:00,1750.08
AMZN,6/21/2018 16:00:00,1730.22
AMZN,6/22/2018 16:00:00,1715.67
AMZN,6/25/2018 16:00:00,1663.15
AMZN,6/26/2018 16:00:00,1691.09
AMZN,6/27/2018 16:00:00,1660.51
AMZN,6/28/2018 16:00:00,1701.45
AMZN,6/29/2018 16:00:00,1699.8
AMZN,7/2/2018 16:00:00,1713.78
AMZN,7/3/2018 13:00:00,1693.96
AMZN,7/5/2018 16:00:00,1699.73
AMZN,7/6/2018 16:00:00,1710.63
AMZN,7/9/2018 16:00:00,1739.02
AMZN,7/10/2018 16:00:00,1743.07
AMZN,7/11/2018 16:00:00,1755
AMZN,7/12/2018 16:00:00,1796.62
AMZN,7/13/2018 16:00:00,1813.03
AMZN,7/16/2018 16:00:00,1822.49
AMZN,7/17/2018 16:00:00,1843.93
AMZN,7/18/2018 16:00:00,1842.92
AMZN,7/19/2018 16:00:00,1812.97
AMZN,7/20/2018 16:00:00,1813.7
AMZN,7/23/2018 16:00:00,1802
AMZN,7/24/2018 16:00:00,1829.24
AMZN,7/25/2018 16:00:00,1863.61
AMZN,7/26/2018 16:00:00,1808
AMZN,7/27/2018 16:00:00,1817.27
AMZN,7/30/2018 16:00:00,1779.22
AMZN,7/31/2018 16:00:00,1777.44
AMZN,8/1/2018 16:00:00,1797.17
AMZN,8/2/2018 16:00:00,1834.33
AMZN,8/3/2018 16:00:00,1823.29
AMZN,8/6/2018 16:00:00,1847.75
AMZN,8/7/2018 16:00:00,1862.48
AMZN,8/8/2018 16:00:00,1886.52
AMZN,8/9/2018 16:00:00,1898.52
AMZN,8/10/2018 16:00:00,1886.3
AMZN,8/13/2018 16:00:00,1896.2
AMZN,8/14/2018 16:00:00,1919.65
AMZN,8/15/2018 16:00:00,1882.62
AMZN,8/16/2018 16:00:00,1886.52
AMZN,8/17/2018 16:00:00,1882.22
AMZN,8/20/2018 16:00:00,1876.71
AMZN,8/21/2018 16:00:00,1883.42
AMZN,8/22/2018 16:00:00,1904.9
AMZN,8/23/2018 16:00:00,1902.9
AMZN,8/24/2018 16:00:00,1905.39
AMZN,8/27/2018 16:00:00,1927.68
